النبإ,40
النازِعات,46
عبس,42
التكوير,29
الإنفطار,19
المطففين,36
الإنشقاق,25
البروج,22
الطارق,17
الأعلى,19
الغاشية,26
الفجر,30
البلد,20
الشمس,15
الليل,21
الضحى,11
الشرح,8
التين,8
العلق,19
القدر,5
البينة,8
الزلزلة,8
العاديات,11
القارعة,11
التكاثر,8
العصر,3
الهمزة,9
الفيل,5
قريش,4
الماعون,7
الكوثر,3
الكافرون,6
النصر,3
اللهب,5
الإخلاص,4
الفلق,5
الناس,6
